DATE,EXEC_SPEND,BIZ_SPEND,PLAT_SPEND,MMM_SPEND,DESKTOP_SPEND_DELTA,ADJUST_VS_UNIFIED_DELTA
2026-03-06,,,1403.3598379999999,,,
2026-03-06,,0.0,,,,
2026-03-05,,,,4618.344495,,
2026-03-05,,,3299.821768,,,
2026-03-05,,0.0,,,,
2026-03-04,15665.986,15665.986,18992.795843999997,20427.454747,3326.809843999996,-4761.468746999999
2026-03-03,15315.9114,15315.9114,18734.907651,20086.452142000002,3418.9962510000005,-4770.540742000001
2026-03-02,17007.4186,17007.4186,20147.415797999998,21433.717624999997,3139.9971979999973,-4426.299024999997
2026-03-01,17991.146800000002,17991.146800000002,21921.619595,23118.959188,3930.472794999998,-5127.8123879999985
2026-02-28,17017.0332,17017.033199999998,20532.686214999998,21685.9596,3515.6530149999962,-4668.926399999997
2026-02-27,18066.7663,18066.766300000003,21236.416168999996,22582.772205999998,3169.649868999997,-4516.0059059999985
2026-02-26,16626.730900000002,16626.730900000002,19476.699126,21024.868956,2849.9682259999972,-4398.138055999996
2026-02-25,16945.3269,16945.3269,19933.029349999997,21250.51746,2987.702449999997,-4305.190559999999
2026-02-24,16615.8164,16615.8164,19528.896789000002,21006.895972000002,2913.0803890000025,-4391.079572000002
2026-02-23,17231.454100000003,17231.454100000003,20294.808745000002,21684.708149000002,3063.3546449999994,-4453.254048999999
2026-02-22,17637.7355,17637.735500000003,20935.818999000003,22461.453079,3298.083499000004,-4823.717579
2026-02-21,16715.2114,16715.2114,19673.61461,21276.287820999998,2958.4032100000004,-4561.076420999998
2026-02-20,15853.2274,15853.2274,19017.016578000002,20627.366915,3163.7891780000027,-4774.139514999999
2026-02-19,16875.533900000002,16875.5339,19988.295876999997,21403.715355,3112.7619769999947,-4528.181454999998
2026-02-18,16883.8186,16883.8186,19838.99395,21476.733439,2955.1753500000013,-4592.914839000001
2026-02-17,17352.8613,17352.8613,20735.536217,22151.315064,3382.6749170000003,-4798.453763999998
2026-02-16,17908.2968,17908.2968,21332.999763999997,22693.358479,3424.7029639999964,-4785.061678999999
2026-02-15,18894.8304,18894.8304,22292.877176,23679.414238,3398.046776000003,-4784.583838000002
2026-02-14,18356.564899999998,18356.5649,21911.685567999997,23230.739676,3555.1206679999996,-4874.1747760000035
2026-02-13,17770.7601,17770.7601,21145.532014,22337.941928,3374.771914000001,-4567.181828000001
2026-02-12,17669.2623,17669.2623,21033.096822000003,22287.39789,3363.8345220000047,-4618.135590000002
2026-02-11,17950.6088,17950.6088,21223.366705,22568.335366,3272.7579049999986,-4617.726565999998
2026-02-10,17884.872499999998,17884.8725,20858.263044,22265.722122,2973.3905440000017,-4380.849622000002
2026-02-09,18769.5005,18769.500500000002,21973.039829999998,23394.060068,3203.5393299999996,-4624.559568000001
2026-02-08,18462.7515,18462.7515,21885.373411,23313.660887,3422.621911000002,-4850.909387
2026-02-07,18066.2795,18066.2795,21511.493004,22918.518138,3445.2135039999994,-4852.238637999999
2026-02-06,17827.5122,17827.512199999997,20873.743388999996,22212.771417,3046.2311889999946,-4385.259216999999
2026-02-05,17938.018,17938.018,21063.915011,22430.932373,3125.897011000001,-4492.914373
2026-02-04,17280.721100000002,17280.721100000002,19992.854536000003,21038.82194,2712.133436,-3758.100839999999
