DATE,EXEC_API_INSTALLS,EXEC_SKAN,EXEC_TOTAL,EXEC_ATTRIBUTION,MMM_S3_SKAN,MMM_API,BIZ_INSTALLS
2026-03-06,,,,,,,0
2026-03-05,,,,,7350,0,
2026-03-05,,,,,,,0
2026-03-04,8397,0,8397,0,8076,8360,8397
2026-03-03,8555,349,8904,5389,8849,8533,8555
2026-03-02,9854,1351,11205,6425,11150,9827,9854
2026-03-01,11616,1536,13152,7876,13002,11599,11616
2026-02-28,11785,1343,13128,7690,13041,11762,11785
2026-02-27,11733,1438,13171,7572,13150,11700,11733
2026-02-26,14559,1726,16285,8978,16317,14530,14559
2026-02-25,7865,1900,9765,4928,9881,7818,7865
2026-02-24,8158,1760,9918,5864,10059,8120,8158
2026-02-23,8202,1793,9995,5860,10030,8174,8202
2026-02-22,9266,1617,10883,6682,10830,9242,9266
2026-02-21,8868,1521,10389,6289,10365,8841,8868
2026-02-20,8273,1143,9416,5888,9435,8247,8273
2026-02-19,6854,1046,7900,4680,7993,6831,6854
2026-02-18,6697,1045,7742,4697,7852,6676,6697
2026-02-17,6832,1111,7943,4878,8054,6816,6832
2026-02-16,7060,1103,8163,5005,8212,7033,7060
2026-02-15,7975,984,8959,5723,8952,7946,7975
2026-02-14,7360,1017,8377,5102,8339,7326,7360
2026-02-13,6539,1011,7550,4479,7674,6515,6539
2026-02-12,6243,1042,7285,4346,7503,6226,6243
2026-02-11,7334,1171,8505,4366,8650,7301,7334
2026-02-10,7446,1105,8551,4569,8664,7430,7446
2026-02-09,7224,1151,8375,4475,8568,7205,7224
2026-02-08,8600,1106,9706,5357,9794,8576,8600
2026-02-07,9150,1012,10162,5514,10041,9127,9150
2026-02-06,9171,1078,10249,5264,10141,9142,9171
2026-02-05,8759,979,9738,5090,9667,8734,8759
2026-02-04,9286,1143,10429,5346,10222,9262,9286
2026-02-03,8591,1063,9654,5077,9661,8567,8591
2026-02-02,8286,1143,9429,5164,9369,8260,8286
2026-02-01,10318,1075,11393,6467,10873,10287,10318
2026-01-31,10618,976,11594,6162,10895,10597,10618
2026-01-30,7295,939,8234,4656,7972,7275,7295
2026-01-29,5351,1002,6353,3666,6565,5319,5351
2026-01-28,5524,1025,6549,3566,6769,5484,5524
2026-01-27,6170,1042,7212,4231,7428,6153,6170
2026-01-26,6898,984,7882,4738,8012,6875,6898
2026-01-25,7951,1026,8977,5437,8969,7928,7951
2026-01-24,7617,989,8606,5180,8573,7602,7617
2026-01-23,6713,941,7654,4554,7769,6685,6713
2026-01-22,6274,876,7150,4296,7277,6251,6274
2026-01-21,6513,927,7440,4187,7514,6463,6513
2026-01-20,6406,932,7338,4319,6071,6379,6406
2026-01-19,6827,241,7068,4695,455,6807,6827
2026-01-18,7957,207,8164,5451,414,7928,7957
2026-01-17,7730,29,7759,5171,115,7697,7730
2026-01-16,6864,11,6875,4580,70,6832,6864
2026-01-15,6224,18,6242,4265,77,6197,6224
2026-01-14,5719,5,5724,3849,66,5694,5719
2026-01-13,6096,2,6098,4070,55,6068,6096
2026-01-12,6893,0,6893,4573,43,6859,6893
2026-01-11,8064,0,8064,5593,39,8037,8064
2026-01-10,7859,0,7859,5431,54,7841,7859
2026-01-09,7440,0,7440,4859,47,7410,7440
2026-01-08,8207,0,8207,5288,31,8189,8207
2026-01-07,8386,0,8386,5333,34,8375,8386
2026-01-06,8430,0,8430,5495,21,8407,8430
2026-01-05,8284,0,8284,5372,26,8264,8284
2026-01-04,9664,0,9664,6434,30,9641,9664
2026-01-03,9578,0,9578,6361,40,9557,9578
2026-01-02,9247,0,9247,6072,28,9211,9247
2026-01-01,9217,0,9217,6068,20,9192,9217
2025-12-31,8526,0,8526,5460,20,8503,8526
2025-12-30,9195,0,9195,5966,20,9169,9195
2025-12-29,8831,0,8831,5738,23,8820,8831
2025-12-28,9694,0,9694,6399,21,9669,9694
2025-12-27,9469,0,9469,6155,34,9446,9469
2025-12-26,9322,0,9322,6045,21,9297,9322
2025-12-25,9101,0,9101,5900,13,9084,9101
2025-12-24,8571,0,8571,5478,17,8540,8571
2025-12-23,8678,0,8678,5444,23,8653,8678
2025-12-22,7956,0,7956,5030,25,7933,7956
2025-12-21,8622,0,8622,5387,19,8601,8622
2025-12-20,8359,0,8359,5233,13,8335,8359
2025-12-19,8225,0,8225,5017,14,8199,8225
2025-12-18,7526,0,7526,4669,16,7494,7526
2025-12-17,6993,0,6993,4170,17,6975,6993
2025-12-16,7093,0,7093,4420,19,7077,7093
2025-12-15,7253,0,7253,4564,13,7228,7253
2025-12-14,8546,0,8546,5453,14,8526,8546
2025-12-13,8282,0,8282,5126,13,8266,8282
2025-12-12,7625,0,7625,4613,11,7611,7625
2025-12-11,7319,0,7319,4321,12,7303,7319
2025-12-10,8156,0,8156,4736,7,8137,8156
2025-12-09,8504,0,8504,5032,9,8485,8504
2025-12-08,8642,0,8642,5116,5,8617,8642
2025-12-07,9099,0,9099,5583,5,9081,9099
2025-12-06,8652,0,8652,5261,12,8630,8652
2025-12-05,6237,0,6237,3983,3,6220,6237
2025-12-04,5151,0,5151,3278,6,5130,5151
2025-12-03,5018,0,5018,3266,1,4994,5018
2025-12-02,4967,0,4967,3092,3,4947,4967
2025-12-01,5010,0,5010,3015,5,4982,5010
2025-11-30,5978,0,5978,3800,3,5959,5978
2025-11-29,5906,0,5906,3668,8,5875,5906
2025-11-28,5813,0,5813,3533,3,5787,5813
2025-11-27,5968,0,5968,3730,0,5940,5968
2025-11-26,5273,0,5273,3185,2,5252,5273
2025-11-25,5271,0,5271,3187,1,5244,5271
2025-11-24,5326,0,5326,3321,0,5306,5326
2025-11-23,6087,0,6087,3760,0,6066,6087
2025-11-22,6044,0,6044,3771,0,6024,6044
2025-11-21,5453,0,5453,3366,0,5426,5453
2025-11-20,5272,0,5272,3197,0,5254,5272
2025-11-19,5645,0,5645,3301,0,5620,5645
2025-11-18,5483,51,5534,3413,1302,5455,5483
2025-11-17,5526,606,6132,3574,5982,5505,5526
2025-11-16,6541,671,7212,4179,6886,6516,6541
2025-11-15,6642,618,7260,4130,6903,6622,6642
2025-11-14,5712,647,6359,3542,6221,5687,5712
2025-11-13,5467,671,6138,3494,4568,5444,5467
2025-11-12,5436,649,6085,3504,3788,5416,5436
2025-11-11,5875,670,6545,3754,3894,5849,5875
2025-11-10,5856,664,6520,3770,3918,5838,5856
2025-11-09,6558,582,7140,4339,4248,6539,6558
2025-11-08,6470,625,7095,4121,4118,6453,6470
2025-11-07,5696,607,6303,3598,3665,5659,5696
2025-11-06,5765,651,6416,3686,3795,5738,5765
2025-11-05,6016,703,6719,3874,3650,6000,6016
2025-11-04,6328,741,7069,3961,3832,6307,6328
2025-11-03,6506,710,7216,4113,3887,6485,6506
2025-11-02,7025,690,7715,4479,4228,7006,7025
2025-11-01,6459,625,7084,3981,3794,6433,6459
2025-10-31,5610,544,6154,3594,3482,5586,5610
2025-10-30,5533,538,6071,3534,3342,5491,5533
2025-10-29,5321,640,5961,3471,3368,5295,5321
2025-10-28,5238,644,5882,3498,3500,5209,5238
2025-10-27,5518,596,6114,3732,3593,5486,5518
2025-10-26,6411,608,7019,4503,4182,6387,6411
2025-10-25,5976,591,6567,4131,3925,5951,5976
2025-10-24,5508,583,6091,3818,3633,5479,5508
2025-10-23,5577,616,6193,3857,3632,5550,5577
2025-10-22,5584,610,6194,3860,3748,5549,5584
2025-10-21,5668,665,6333,3890,3976,5637,5668
2025-10-20,6202,692,6894,4374,4365,6171,6202
2025-10-19,7324,605,7929,5138,4889,7302,7324
2025-10-18,6660,536,7196,4724,4582,6643,6660
2025-10-17,5983,594,6577,4099,4097,5957,5983
2025-10-16,5847,607,6454,4076,4076,5822,5847
2025-10-15,6022,658,6680,4242,4187,5981,6022
2025-10-14,6391,716,7107,4475,4385,6359,6391
2025-10-13,7209,716,7925,4949,4576,7190,7209
2025-10-12,8030,690,8720,5584,4968,8007,8030
2025-10-11,7270,631,7901,4935,4354,7247,7270
2025-10-10,6112,605,6717,4066,3734,6086,6112
2025-10-09,6105,663,6768,4042,3766,6075,6105
2025-10-08,6279,786,7065,4068,3830,6252,6279
2025-10-07,6454,752,7206,4361,4158,6440,6454
2025-10-06,5959,770,6729,4184,4185,5942,5959
2025-10-05,7128,775,7903,5202,4831,7106,7128
2025-10-04,7135,808,7943,5074,4784,7116,7135
2025-10-03,6326,891,7217,4625,4631,6300,6326
2025-10-02,6047,896,6943,4419,4546,6022,6047
2025-10-01,6048,1080,7128,4315,4639,6024,6048
2025-09-30,6387,1183,7570,4753,5023,6366,6387
2025-09-29,7284,928,8212,5560,5471,7256,7284
2025-09-28,7544,746,8290,5684,5218,7521,7544
2025-09-27,7055,636,7691,5211,4754,7033,7055
2025-09-26,6015,638,6653,4480,4393,5992,6015
2025-09-25,5621,713,6334,4213,4063,5585,5621
2025-09-24,5761,705,6466,4312,4118,5738,5761
2025-09-23,5514,715,6229,4249,4268,5492,5514
2025-09-22,5219,619,5838,4072,4152,5192,5219
2025-09-21,6310,646,6956,4908,4836,6294,6310
2025-09-20,5941,582,6523,4537,4426,5924,5941
2025-09-19,5666,569,6235,4164,4118,5634,5666
2025-09-18,6036,493,6529,4551,3987,6017,6036
2025-09-17,5372,711,6083,4069,3926,5347,5372
2025-09-16,5885,765,6650,4419,4200,5852,5885
2025-09-15,6055,786,6841,4577,4175,6017,6055
2025-09-14,7386,672,8058,5544,4623,7360,7386
2025-09-13,7154,598,7752,5303,4424,7133,7154
2025-09-12,5896,556,6452,4374,3679,5865,5896
2025-09-11,5239,661,5900,3955,3473,5215,5239
2025-09-10,5136,759,5895,3850,3678,5108,5136
2025-09-09,5563,830,6393,4263,4164,5532,5563
2025-09-08,5478,892,6370,4254,4367,5449,5478
2025-09-07,6804,830,7634,5242,4892,6785,6804
2025-09-06,6825,785,7610,5124,4781,6814,6825
2025-09-05,5609,759,6368,4300,4218,5593,5609
2025-09-04,5455,806,6261,4244,4201,5432,5455
2025-09-03,5555,831,6386,4403,4303,5532,5555
2025-09-02,5515,897,6412,4250,4441,5477,5515
2025-09-01,6716,779,7495,5137,5029,6695,6716
2025-08-31,6753,775,7528,5202,4997,6723,6753
2025-08-30,6583,783,7366,5011,4816,6557,6583
2025-08-29,6030,772,6802,4597,4513,6005,6030
2025-08-28,6069,858,6927,4672,4661,6029,6069
2025-08-27,6070,839,6909,4693,4571,6039,6070
