DATE,API_INSTALLS,S3_INSTALLS,DELTA,PCT_DELTA
,,2751,,
,,7350,,
2026-03-04,8360,8076,284,0.03397129186602871
2026-03-03,8533,8245,288,0.033751318410875426
2026-03-02,9827,9481,346,0.03520911773684746
2026-03-01,11599,11123,476,0.04103802051901026
2026-02-28,11762,11283,479,0.040724366604318996
2026-02-27,11700,11316,384,0.03282051282051282
2026-02-26,14530,14164,366,0.025189263592567103
2026-02-25,7818,7590,228,0.02916346891788181
2026-02-24,8120,7869,251,0.030911330049261082
2026-02-23,8174,7853,321,0.039270858820650845
2026-02-22,9242,8794,448,0.04847435619995672
2026-02-21,8841,8401,440,0.049768125777626966
2026-02-20,8247,7863,384,0.04656238632229902
2026-02-19,6831,6515,316,0.046259698433611475
2026-02-18,6676,6365,311,0.04658478130617136
2026-02-17,6816,6477,339,0.04973591549295775
2026-02-16,7033,6677,356,0.0506185127257216
2026-02-15,7946,7532,414,0.05210168638308583
2026-02-14,7326,6851,475,0.06483756483756484
2026-02-13,6515,6201,314,0.04819646968534152
2026-02-12,6226,5950,276,0.044330228075811114
2026-02-11,7301,7012,289,0.03958361868237228
2026-02-10,7430,7123,307,0.041318977119784654
2026-02-09,7205,6921,284,0.03941707147814018
2026-02-08,8576,8174,402,0.046875
2026-02-07,9127,8581,546,0.05982250465651364
2026-02-06,9142,8571,571,0.06245898052942463
2026-02-05,8734,8228,506,0.05793450881612091
2026-02-04,9262,8658,604,0.06521269704167566
2026-02-03,8567,8166,401,0.0468075172172289
2026-02-02,8260,7819,441,0.053389830508474574
2026-02-01,10287,9335,952,0.09254398755711092
2026-01-31,10597,9538,1059,0.0999339435689346
2026-01-30,7275,6662,613,0.08426116838487972
2026-01-29,5319,5153,166,0.031208873848467756
2026-01-28,5484,5323,161,0.02935813274981765
2026-01-27,6153,5975,178,0.028928977734438484
2026-01-26,6875,6623,252,0.036654545454545454
2026-01-25,7928,7545,383,0.048309788092835516
2026-01-24,7602,7187,415,0.054590897132333595
2026-01-23,6685,6394,291,0.043530291697830965
2026-01-22,6251,6027,224,0.03583426651735722
2026-01-21,6463,6229,234,0.03620609624013616
2026-01-20,6379,4779,1600,0.2508230130114438
2026-01-19,6807,110,6697,0.9838401645365066
2026-01-18,7928,83,7845,0.9895307769929365
2026-01-17,7697,73,7624,0.9905157853709238
2026-01-16,6832,51,6781,0.9925351288056206
2026-01-15,6197,37,6160,0.9940293690495401
2026-01-14,5694,57,5637,0.9899894625922023
2026-01-13,6068,46,6022,0.9924192485168095
2026-01-12,6859,43,6816,0.9937308645575157
2026-01-11,8037,39,7998,0.9951474430757745
2026-01-10,7841,54,7787,0.9931131233261064
2026-01-09,7410,47,7363,0.9936572199730095
2026-01-08,8189,31,8158,0.996214433996825
2026-01-07,8375,34,8341,0.9959402985074627
2026-01-06,8407,21,8386,0.9975020815986678
2026-01-05,8264,26,8238,0.9968538238141336
2026-01-04,9641,30,9611,0.9968882895965149
2026-01-03,9557,40,9517,0.9958145861672073
2026-01-02,9211,28,9183,0.996960156334817
2026-01-01,9192,20,9172,0.9978241949521323
2025-12-31,8503,20,8483,0.9976478889803598
2025-12-30,9169,20,9149,0.9978187370487512
2025-12-29,8820,23,8797,0.9973922902494331
2025-12-28,9669,21,9648,0.9978281104560968
2025-12-27,9446,34,9412,0.9964005928435317
2025-12-26,9297,21,9276,0.9977412068409164
2025-12-25,9084,13,9071,0.9985689123734038
2025-12-24,8540,17,8523,0.9980093676814988
2025-12-23,8653,23,8630,0.9973419623252051
2025-12-22,7933,25,7908,0.9968486070843313
2025-12-21,8601,19,8582,0.9977909545401697
2025-12-20,8335,13,8322,0.9984403119376125
2025-12-19,8199,14,8185,0.9982924746920356
2025-12-18,7494,16,7478,0.9978649586335735
2025-12-17,6975,17,6958,0.9975627240143369
2025-12-16,7077,19,7058,0.9973152465734069
2025-12-15,7228,13,7215,0.9982014388489209
2025-12-14,8526,14,8512,0.9983579638752053
2025-12-13,8266,13,8253,0.9984272925235906
2025-12-12,7611,11,7600,0.9985547234266193
2025-12-11,7303,12,7291,0.9983568396549364
2025-12-10,8137,7,8130,0.9991397320879931
2025-12-09,8485,9,8476,0.998939304655274
2025-12-08,8617,5,8612,0.9994197516537078
2025-12-07,9081,5,9076,0.9994493998458319
2025-12-06,8630,12,8618,0.9986095017381228
2025-12-05,6220,3,6217,0.9995176848874598
2025-12-04,5130,6,5124,0.9988304093567252
2025-12-03,4994,1,4993,0.999799759711654
2025-12-02,4947,3,4944,0.9993935718617344
2025-12-01,4982,5,4977,0.9989963869931754
2025-11-30,5959,3,5956,0.999496559825474
2025-11-29,5875,8,5867,0.9986382978723404
2025-11-28,5787,3,5784,0.9994815966822188
2025-11-27,5940,,,
2025-11-26,5252,2,5250,0.9996191926884996
2025-11-25,5244,1,5243,0.9998093058733791
2025-11-24,5306,,,
2025-11-23,6066,,,
2025-11-22,6024,,,
2025-11-21,5426,,,
2025-11-20,5254,,,
2025-11-19,5620,,,
2025-11-18,5455,1207,4248,0.7787351054078827
2025-11-17,5505,5140,365,0.06630336058128973
2025-11-16,6516,5978,538,0.08256599140577041
2025-11-15,6622,6028,594,0.08970099667774087
2025-11-14,5687,5316,371,0.06523650430807104
2025-11-13,5444,3635,1809,0.3322924320352682
2025-11-12,5416,2871,2545,0.469903988183161
2025-11-11,5849,2957,2892,0.494443494614464
2025-11-10,5838,2971,2867,0.49109284001370335
2025-11-09,6539,3383,3156,0.48264260590304325
2025-11-08,6453,3210,3243,0.502556950255695
2025-11-07,5659,2802,2857,0.5048595158155151
2025-11-06,5738,2861,2877,0.5013942140118508
2025-11-05,6000,2654,3346,0.5576666666666666
2025-11-04,6307,2793,3514,0.5571587125416204
2025-11-03,6485,2888,3597,0.5546646106399383
2025-11-02,7006,3250,3756,0.5361119040822152
2025-11-01,6433,2920,3513,0.5460904710088605
2025-10-31,5586,2745,2841,0.50859291084855
2025-10-30,5491,2686,2805,0.5108359133126935
2025-10-29,5295,2582,2713,0.5123701605288008
2025-10-28,5209,2689,2520,0.48377807640622
2025-10-27,5486,2845,2641,0.48140721837404304
2025-10-26,6387,3400,2987,0.46766870205104116
2025-10-25,5951,3157,2794,0.46950092421441775
2025-10-24,5479,2883,2596,0.4738090892498631
2025-10-23,5550,2880,2670,0.4810810810810811
2025-10-22,5549,2985,2564,0.462065236979636
2025-10-21,5637,3178,2459,0.4362249423452191
2025-10-20,6171,3527,2644,0.4284556797925782
2025-10-19,7302,4127,3175,0.4348123801698165
2025-10-18,6643,3898,2745,0.4132169200662351
2025-10-17,5957,3347,2610,0.43814000335739467
2025-10-16,5822,3310,2512,0.4314668498797664
2025-10-15,5981,3354,2627,0.43922420999832806
2025-10-14,6359,3498,2861,0.44991350841327254
2025-10-13,7190,3713,3477,0.48358831710709316
2025-10-12,8007,4101,3906,0.48782315473960286
2025-10-11,7247,3593,3654,0.5042086380571271
2025-10-10,6086,2991,3095,0.5085441998028262
2025-10-09,6075,2945,3130,0.5152263374485597
2025-10-08,6252,2886,3366,0.5383877159309021
2025-10-07,6440,3218,3222,0.5003105590062111
2025-10-06,5942,3185,2757,0.4639851901716594
2025-10-05,7106,3813,3293,0.4634112018012947
2025-10-04,7116,3772,3344,0.46992692523889823
2025-10-03,6300,3547,2753,0.436984126984127
2025-10-02,6022,3438,2584,0.42909332447691795
2025-10-01,6024,3323,2701,0.4483731739707835
2025-09-30,6366,3596,2770,0.43512409676405905
2025-09-29,7256,4298,2958,0.40766262403528114
2025-09-28,7521,4238,3283,0.4365111022470416
2025-09-27,7033,3885,3148,0.4476041518555382
2025-09-26,5992,3500,2492,0.4158878504672897
2025-09-25,5585,3138,2447,0.43813786929274845
2025-09-24,5738,3199,2539,0.4424886720111537
2025-09-23,5492,3336,2156,0.39257101238164605
2025-09-22,5192,3349,1843,0.35496918335901384
2025-09-21,6294,3968,2326,0.3695583095011122
2025-09-20,5924,3678,2246,0.37913571910871036
2025-09-19,5634,3383,2251,0.3995385161519347
2025-09-18,6017,3293,2724,0.45271730098055507
2025-09-17,5347,2991,2356,0.44062090892089023
2025-09-16,5852,3196,2656,0.4538619275461381
2025-09-15,6017,3177,2840,0.47199601130131297
2025-09-14,7360,3795,3565,0.484375
2025-09-13,7133,3662,3471,0.4866115239029861
2025-09-12,5865,2980,2885,0.4919011082693947
2025-09-11,5215,2676,2539,0.4868648130393097
2025-09-10,5108,2758,2350,0.4600626468285043
2025-09-09,5532,3167,2365,0.4275126536514823
2025-09-08,5449,3266,2183,0.4006239677004955
2025-09-07,6785,3879,2906,0.42829771554900514
2025-09-06,6814,3822,2992,0.43909597886703844
2025-09-05,5593,3288,2305,0.41212229572680137
2025-09-04,5432,3248,2184,0.4020618556701031
2025-09-03,5532,3304,2228,0.4027476500361533
2025-09-02,5477,3348,2129,0.3887164506116487
2025-09-01,6695,4043,2652,0.39611650485436894
2025-08-31,6723,4026,2697,0.4011601963409192
2025-08-30,6557,3846,2711,0.4134512734482233
2025-08-29,6005,3527,2478,0.4126561199000833
2025-08-28,6029,3577,2452,0.4067009454304196
2025-08-27,6039,3549,2490,0.41231992051664185
2025-08-26,6343,3806,2537,0.3999684691786221
2025-08-25,6193,3917,2276,0.3675117067657032
2025-08-24,6877,4416,2461,0.35785953177257523
2025-08-23,7045,3993,3052,0.4332150461320085
2025-08-22,6905,3891,3014,0.4364952932657495
2025-08-21,6966,4117,2849,0.4089865058857307
2025-08-20,7272,4271,3001,0.4126787678767877
2025-08-19,7291,4678,2613,0.35838705253051706
2025-08-18,7445,4797,2648,0.35567494963062457
2025-08-17,8522,5354,3168,0.3717437221309552
2025-08-16,8024,4957,3067,0.3822283150548355
2025-08-15,7116,4591,2525,0.35483417650365373
2025-08-14,7262,4783,2479,0.34136601487193613
2025-08-13,7390,4943,2447,0.33112313937753723
2025-08-12,7865,5363,2502,0.31811824539097266
2025-08-11,8095,5531,2564,0.31673872760963556
2025-08-10,8903,6065,2838,0.31876895428507246
2025-08-09,8537,5738,2799,0.32786693217757995
2025-08-08,8203,5430,2773,0.33804705595513834
2025-08-07,8622,5664,2958,0.3430758524704245
2025-08-06,8845,5857,2988,0.33781797625777277
2025-08-05,9576,6213,3363,0.35119047619047616
