DATE,EXEC_TOTAL,EXEC_PURCHASE,EXEC_D7,BIZ_TOTAL,PLAT_TOTAL,MMM_ALL,DESKTOP_WEB_REVENUE_DELTA
,,,,,48469.55,,
,,,,,,0.0,
,,,,,58720.67,,
2026-03-06,,,,48469.549999999996,,,
2026-03-05,,,,58720.67,,,
2026-03-04,35021.623,35021.623,0.0,56695.89,56695.89,34904.667,21674.267
2026-03-03,37626.19,37626.19,367.75,58052.009999999995,58052.01,37437.446,20425.819999999992
2026-03-02,31180.316,31180.316,420.75,48051.72,48051.72,31049.622,16871.404000000002
2026-03-01,39424.931,39424.931,743.3100000000001,61156.350000000006,61156.35,39277.943999999996,21731.41900000001
2026-02-28,45026.15599999999,45026.15599999999,984.99,66699.25,66699.25,44724.645,21673.094000000012
2026-02-27,51036.222,51036.222,843.9899999999999,80198.98,80198.98000000001,50940.778999999995,29162.757999999994
2026-02-26,50528.780999999995,50528.780999999995,1141.7399999999998,81202.55,81202.54999999999,50155.199,30673.769000000008
2026-02-25,33694.761,33694.761,1121.0700000000002,54569.63,54569.62999999999,33505.975,20874.869
2026-02-24,29155.839000000007,29155.839000000007,1450.36,48346.56,48346.560000000005,29005.75,19190.72099999999
2026-02-23,29815.924999999996,29815.924999999996,1498.63,51141.31,51141.310000000005,29556.893,21325.385000000002
2026-02-22,35390.684,35390.684,1961.81,58480.21,58480.21,35244.34099999999,23089.525999999998
2026-02-21,38546.845,38546.845,1256.95,63323.009999999995,63323.009999999995,38425.901,24776.164999999994
2026-02-20,32994.729999999996,32994.729999999996,993.3599999999999,55842.520000000004,55842.520000000004,32877.921,22847.790000000008
2026-02-19,37975.138999999996,37975.138999999996,1061.78,62048.43000000001,62048.43000000001,37882.34,24073.291000000012
2026-02-18,29946.299000000003,29946.299000000003,854.6800000000002,53170.4,53170.399999999994,29787.844,23224.101
2026-02-17,30950.786,30950.786,1075.22,54249.880000000005,54249.88,30776.112999999998,23299.094000000005
2026-02-16,33411.327,33411.327,1594.93,56522.759999999995,56522.76,33162.806,23111.432999999997
2026-02-15,34469.294,34469.294,1303.66,59046.91,59046.91,34331.568999999996,24577.616
2026-02-14,40052.543,40052.543,1122.59,64350.93000000001,64350.93000000001,39913.634,24298.38700000001
2026-02-13,34342.338,34342.338,1197.37,57637.98,57637.979999999996,34169.814000000006,23295.642
2026-02-12,33395.557,33395.557,1204.75,54525.47,54525.47,33249.729,21129.913
2026-02-11,30156.239,30156.239,1200.87,51038.33,51038.329999999994,29979.072,20882.091
2026-02-10,29298.396999999997,29298.396999999997,1248.8500000000001,49730.34,49730.34,28917.358,20431.943
2026-02-09,26697.827,26697.827,705.78,45867.48000000001,45867.48,26582.987,19169.65300000001
2026-02-08,34652.797,34652.797,933.23,59435.18,59435.18000000001,34465.458,24782.383
2026-02-07,42690.58700000001,42690.58700000001,1315.3599999999997,69056.56999999999,69056.56999999999,42456.358,26365.982999999986
2026-02-06,35831.594999999994,35831.594999999994,823.9000000000001,60568.729999999996,60568.729999999996,35675.919,24737.135000000002
2026-02-05,35969.672999999995,35969.672999999995,970.55,60981.8,60981.799999999996,35798.788,25012.127000000008
2026-02-04,33574.929000000004,33574.929000000004,1743.14,52883.17,52883.17,33495.339,19308.240999999995
2026-02-03,32912.939999999995,32912.939999999995,972.8399999999999,57379.15000000001,57379.149999999994,32742.527000000002,24466.210000000014
2026-02-02,32854.215000000004,32854.215000000004,1475.1799999999998,51629.39,51629.39,32747.073,18775.174999999996
2026-02-01,40328.064,40328.064,1809.8899999999999,65766.66,65766.66,40158.257999999994,25438.596000000005
2026-01-31,45340.39399999999,45340.39399999999,1482.7199999999998,69185.52,69185.52,45175.935,23845.12600000001
2026-01-30,46863.651,46863.651,1668.42,72860.97,72860.97,46290.617,25997.319000000003
2026-01-29,45327.737,45327.737,1294.6399999999999,73399.41,73399.40999999999,45090.106,28071.673000000003
2026-01-28,35107.279,35107.279,1294.44,58173.12,58173.12,34890.935,23065.841
2026-01-27,28119.442000000003,28119.442000000003,1631.3999999999996,46435.72,46435.72000000001,27938.918,18316.278
2026-01-26,30851.197,30851.197,1356.3899999999999,50054.22,50054.219999999994,30673.176,19203.023
2026-01-25,38411.344000000005,38411.344000000005,2281.2999999999997,60941.13,60941.13000000001,38215.209,22529.785999999993
2026-01-24,41063.416,41063.416,1537.83,64059.11,64059.11000000001,40734.295,22995.694000000003
2026-01-23,33274.14399999999,33274.14399999999,1096.9299999999998,57345.15,57345.15,33027.643000000004,24071.00600000001
2026-01-22,32566.233,32566.233,1389.83,55288.2,55288.200000000004,32260.161,22721.966999999997
2026-01-21,28250.198000000004,28250.198000000004,857.13,46395.740000000005,46395.73999999999,28043.296000000002,18145.542
2026-01-20,30295.225,30295.225,1189.1200000000001,50957.86,50957.86,30215.644,20662.635000000002
2026-01-19,29219.594,29219.594,1236.9899999999998,50357.16,50357.16,29009.645999999997,21137.566000000003
2026-01-18,32938.299,32938.299,633.35,57736.350000000006,57736.35,32672.288,24798.051000000007
2026-01-17,37450.586,37450.586,1346.92,62818.05,62818.05,37205.997,25367.464
2026-01-16,33015.072,33015.072,1579.9999999999998,58017.31999999999,58017.32000000001,32890.671,25002.247999999992
2026-01-15,36313.682,36313.682,882.52,59130.49,59130.490000000005,36107.176,22816.807999999997
2026-01-14,30238.067,30238.067,1188.6799999999998,48011.08,48011.079999999994,29956.939,17773.013000000003
2026-01-13,32296.277000000002,32296.277000000002,1264.1499999999999,50258.12,50258.119999999995,32199.936,17961.843
2026-01-12,30177.600000000002,30177.600000000002,1077.8200000000002,48531.75,48531.75,30114.661999999997,18354.149999999998
2026-01-11,36976.768,36976.768,1111.4299999999998,54649.28,54649.28,36745.547,17672.512000000002
2026-01-10,38605.026999999995,38605.026999999995,1284.0,59800.450000000004,59800.450000000004,38538.17,21195.42300000001
2026-01-09,30918.465999999997,30918.465999999997,1312.9300000000003,49298.54,49298.54,30665.239999999998,18380.074000000004
2026-01-08,31868.655,31868.655,1160.3200000000002,54806.38,54806.380000000005,31701.288,22937.725
2026-01-07,27898.445,27898.445,1099.3200000000002,50583.55,50583.55,27748.701,22685.105000000003
2026-01-06,30402.412000000004,30402.412000000004,1365.25,52730.16,52730.159999999996,30158.589,22327.748
2026-01-05,26916.732,26916.732,1683.4300000000003,48741.46,48741.46000000001,26730.229,21824.728
2026-01-04,32641.122000000003,32641.122000000003,1950.32,57754.979999999996,57754.98,32570.603,25113.857999999993
2026-01-03,39980.157999999996,39980.157999999996,1505.6599999999999,70721.94,70721.94,39842.759,30741.782000000007
2026-01-02,40968.592000000004,40968.592000000004,1143.75,76243.02,76243.02,40764.661,35274.428
2026-01-01,49113.47899999999,49113.47899999999,2199.2799999999997,87015.3,87015.3,48915.442,37901.82100000001
2025-12-31,33324.603,33324.603,1907.01,59271.51,59271.51,33051.015,25946.907
2025-12-30,33173.309,33173.309,1464.5800000000002,58120.770000000004,58120.770000000004,32917.215000000004,24947.461000000003
2025-12-29,31106.760000000006,31106.760000000006,1539.41,57063.939999999995,57063.94000000001,31020.046,25957.17999999999
2025-12-28,38737.024,38737.024,2116.77,69985.81,69985.81,38574.488,31248.786
2025-12-27,48014.658,48014.658,1958.09,81589.72,81589.72,47599.929,33575.062
2025-12-26,41255.562000000005,41255.562000000005,2114.5000000000005,76305.34,76305.34,41186.532,35049.77799999999
2025-12-25,50582.381,50582.381,2369.7,85378.99,85378.99,50307.151000000005,34796.609000000004
2025-12-24,34995.739,34995.739,1315.12,57713.53,57713.53,34860.026999999995,22717.790999999997
2025-12-23,33766.898,33766.898,1177.4399999999998,54765.93,54765.93,33620.891,20999.032
2025-12-22,30650.731,30650.731,1197.93,51009.729999999996,51009.729999999996,30615.428,20358.998999999996
2025-12-21,34610.874,34610.874,1279.9899999999998,57859.4,57859.40000000001,34512.927,23248.525999999998
2025-12-20,39024.981,39024.981,1071.6799999999998,62374.3,62374.3,38814.606,23349.319000000003
2025-12-19,35158.403,35158.403,950.38,58341.79,58341.79,35006.0,23183.387000000002
2025-12-18,40570.78999999999,40570.78999999999,2129.88,66715.25,66715.25,40325.56,26144.460000000006
2025-12-17,30196.607999999997,30196.607999999997,709.65,51061.58,51061.58,30057.358,20864.972000000005
2025-12-16,25661.187,25661.187,1273.2199999999998,45174.16,45174.15999999999,25601.683,19512.973
2025-12-15,30087.911000000004,30087.911000000004,1196.2599999999998,53711.77,53711.77000000001,30006.024000000005,23623.858999999993
2025-12-14,33392.135,33392.135,921.97,59966.54,59966.54000000001,33106.047000000006,26574.405
2025-12-13,35851.549999999996,35851.549999999996,1333.1199999999997,61935.23,61935.23,35744.966,26083.680000000008
2025-12-12,31149.292999999998,31149.292999999998,1068.5400000000002,60583.43000000001,60583.43000000001,31061.415,29434.13700000001
2025-12-11,33449.734000000004,33449.734000000004,796.7,57179.299999999996,57179.3,33378.558999999994,23729.56599999999
2025-12-10,30494.636999999995,30494.636999999995,730.46,51719.659999999996,51719.66,30320.603,21225.023
2025-12-09,29419.713999999996,29419.713999999996,1342.1699999999998,48621.869999999995,48621.87,29219.388,19202.156
2025-12-08,26444.196999999996,26444.196999999996,1427.71,47959.770000000004,47959.770000000004,26177.148999999998,21515.573000000008
2025-12-07,31833.543,31833.543,1464.61,51114.200000000004,51114.2,31697.184,19280.657000000003
2025-12-06,36302.867,36302.867,1337.3700000000001,56410.12,56410.12,36097.065,20107.253000000004
2025-12-05,31890.211,31890.211,1558.0400000000002,54767.14,54767.14,31829.878,22876.929
2025-12-04,31039.415,31039.415,1121.19,55198.719999999994,55198.72,30858.838,24159.304999999993
2025-12-03,26113.865,26113.865,1707.9399999999998,48801.229999999996,48801.23,26010.137,22687.364999999994
2025-12-02,36899.845,36899.845,1045.46,63844.53000000001,63844.53,36727.289,26944.685000000012
2025-12-01,48053.492999999995,48053.492999999995,981.0200000000002,87736.4,87736.4,47854.793999999994,39682.907
2025-11-30,44550.80100000001,44550.80100000001,1675.76,78265.94,78265.94,44351.512,33715.138999999996
2025-11-29,55916.931,55916.931,798.7700000000001,91455.56999999999,91455.57,55682.507000000005,35538.638999999996
2025-11-28,41880.84500000001,41880.84500000001,1159.07,76846.23999999999,76846.23999999999,41603.015999999996,34965.39499999998
