DATE,ADJ_ALL,EVT_TOTAL,ALL_REV_DELTA,ADJ_PURCHASE,EVT_PURCHASE,PURCHASE_DELTA
2026-03-06,,38418.5,,,31784.63,
2026-03-05,,44915.19,,,35789.92,
2026-03-04,34904.667,43934.43,-9029.762999999999,34904.667,34893.19,11.476999999998952
2026-03-03,37437.446,45420.17,-7982.723999999995,37437.446,37636.19,-198.74399999999878
2026-03-02,31049.622,37949.590000000004,-6899.968000000004,31049.622,31033.89,15.731999999999971
2026-03-01,39277.943999999996,46749.13,-7471.1860000000015,39277.943999999996,39084.36,193.58399999999529
2026-02-28,44724.645000000004,51285.979999999996,-6561.334999999992,44724.645000000004,44749.71,-25.064999999995052
2026-02-27,50940.779,59484.24,-8543.460999999996,50940.779,50742.21,198.56900000000314
2026-02-26,50155.19899999999,59612.27,-9457.071000000004,50155.19899999999,50087.35,67.8489999999947
2026-02-25,33505.975,41630.41,-8124.435000000005,33505.975,33359.119999999995,146.8550000000032
2026-02-24,29005.75,37970.28,-8964.529999999999,29005.75,29699.790000000005,-694.0400000000045
2026-02-23,29556.893,39562.56,-10005.666999999998,29556.893,29174.959999999995,381.93300000000454
2026-02-22,35244.341,45984.13,-10739.788999999997,35244.341,34825.6,418.7410000000018
2026-02-21,38425.901000000005,49655.5,-11229.598999999995,38425.901000000005,39032.450000000004,-606.5489999999991
2026-02-20,32877.921,43136.71,-10258.788999999997,32877.921,32596.860000000004,281.0609999999979
2026-02-19,37882.34,45823.68,-7941.340000000004,37882.34,37581.95,300.3899999999994
2026-02-18,29787.844,41232.600000000006,-11444.756000000005,29787.844,29794.350000000002,-6.506000000001222
2026-02-17,30776.112999999998,41064.659999999996,-10288.546999999999,30776.112999999998,30906.68,-130.56700000000274
2026-02-16,33162.806,45439.23,-12276.424000000006,33162.806,32776.58,386.2259999999951
2026-02-15,34331.569,47437.03,-13105.460999999996,34331.569,34137.15,194.4190000000017
2026-02-14,39913.634,51445.49000000001,-11531.856000000014,39913.634,39405.62,508.0139999999956
2026-02-13,34169.814,45329.13,-11159.315999999999,34169.814,33551.979999999996,617.8340000000026
2026-02-12,33249.729,41014.259999999995,-7764.530999999995,33249.729,33088.16,161.56899999999587
2026-02-11,29979.072,38704.24999999999,-8725.177999999993,29979.072,29769.08,209.99199999999837
2026-02-10,28917.358,38236.07,-9318.712,28917.358,29455.69,-538.3319999999985
2026-02-09,26582.987,36086.85999999999,-9503.872999999992,26582.987,26659.26,-76.27299999999741
2026-02-08,34465.458,47313.49,-12848.032,34465.458,35045.100000000006,-579.6420000000071
2026-02-07,42456.358,54439.28,-11982.921999999999,42456.358,42746.39,-290.03199999999924
2026-02-06,35675.918999999994,47199.12,-11523.201000000008,35675.918999999994,35683.9,-7.981000000007043
2026-02-05,35798.788,44235.06,-8436.271999999997,35798.788,35597.21,201.57800000000134
2026-02-04,33495.339,40799.100000000006,-7303.761000000006,33495.339,32266.83,1228.5089999999982
2026-02-03,32742.527,41036.64,-8294.113000000001,32742.527,32431.29,311.23699999999735
2026-02-02,32747.073,39523.43,-6776.357,32747.073,32572.93,174.14300000000003
2026-02-01,40158.258,47399.96000000001,-7241.702000000005,40158.258,39796.200000000004,362.05799999999726
2026-01-31,45175.935,52113.490000000005,-6937.555000000008,45175.935,44922.97,252.9649999999965
2026-01-30,46290.617,54824.7,-8534.082999999999,46290.617,45956.16,334.4569999999949
2026-01-29,45090.106,53082.77,-7992.663999999997,45090.106,44945.82,144.28600000000006
2026-01-28,34890.935,42437.61,-7546.675000000003,34890.935,34442.92,448.0149999999994
2026-01-27,27938.918,35646.64,-7707.721999999998,27938.918,28015.02,-76.10199999999895
2026-01-26,30673.176,39093.42999999999,-8420.253999999994,30673.176,29769.54,903.6359999999986
2026-01-25,38215.208999999995,48047.9,-9832.691000000006,38215.208999999995,37308.15,907.0589999999938
2026-01-24,40734.295,50116.55,-9382.255000000005,40734.295,40692.18000000001,42.11499999999069
2026-01-23,33027.643000000004,43451.03,-10423.386999999995,33027.643000000004,33138.06,-110.416999999994
2026-01-22,32260.161,40977.840000000004,-8717.679000000004,32260.161,32784.14,-523.9789999999994
2026-01-21,28043.296,36172.05,-8128.754000000004,28043.296,27684.27,359.025999999998
2026-01-20,30215.644,41000.170000000006,-10784.526000000005,30215.644,30525.89,-310.2459999999992
2026-01-19,29009.646,40422.630000000005,-11412.984000000004,29009.646,27901.65,1107.9959999999992
2026-01-18,32672.288,46061.61,-13389.322,32672.288,32945.72,-273.4320000000007
2026-01-17,37205.997,50532.85,-13326.852999999996,37205.997,37419.2,-213.20299999999406
2026-01-16,32890.671,44221.68,-11331.008999999998,32890.671,32691.030000000002,199.64099999999962
2026-01-15,36107.176,44548.69,-8441.514000000003,36107.176,36294.73,-187.55400000000373
2026-01-14,29956.939,38092.909999999996,-8135.970999999998,29956.939,29582.319999999996,374.6190000000024
2026-01-13,32199.936,39008.86,-6808.923999999999,32199.936,31861.16,338.77600000000166
2026-01-12,30114.662,36336.58,-6221.9180000000015,30114.662,28849.33,1265.3319999999985
2026-01-11,36745.547,44357.18,-7611.633000000002,36745.547,36553.95,191.59700000000157
2026-01-10,38538.17,46699.21,-8161.040000000001,38538.17,38822.119999999995,-283.9499999999971
2026-01-09,30665.239999999998,37366.0,-6700.760000000002,30665.239999999998,30137.400000000005,527.8399999999929
2026-01-08,31701.288,41541.3,-9840.012000000002,31701.288,32331.53,-630.2419999999984
2026-01-07,27748.701,39095.3,-11346.599000000002,27748.701,29335.739999999998,-1587.038999999997
2026-01-06,30158.589,41335.86,-11177.271,30158.589,32516.510000000002,-2357.921000000002
2026-01-05,26730.229,38639.600000000006,-11909.371000000006,26730.229,29177.46,-2447.2309999999998
2026-01-04,32570.603000000003,47453.490000000005,-14882.887000000002,32570.603000000003,35276.04,-2705.436999999998
2026-01-03,39842.759000000005,55786.64,-15943.880999999994,39842.759000000005,43431.130000000005,-3588.370999999999
2026-01-02,40764.661,56310.4,-15545.739000000001,40764.661,43694.06,-2929.3989999999976
2026-01-01,48915.442,64338.17,-15422.727999999996,48915.442,52204.060000000005,-3288.618000000002
2025-12-31,33051.015,46949.030000000006,-13898.015000000007,33051.015,35174.64,-2123.625
2025-12-30,32917.215,44475.350000000006,-11558.13500000001,32917.215,36038.82,-3121.605000000003
2025-12-29,31020.046,44910.26,-13890.214000000004,31020.046,33574.5,-2554.4540000000015
2025-12-28,38574.488,55029.53,-16455.042,38574.488,42096.44,-3521.952000000005
2025-12-27,47599.929000000004,64166.94,-16567.011,47599.929000000004,51501.92,-3901.9909999999945
2025-12-26,41186.532,58537.83,-17351.298000000003,41186.532,44467.59,-3281.0579999999973
2025-12-25,50307.151000000005,64040.58,-13733.428999999996,50307.151000000005,53014.57000000001,-2707.4190000000017
2025-12-24,34860.027,45683.100000000006,-10823.073000000004,34860.027,38358.89000000001,-3498.863000000005
2025-12-23,33620.891,43051.04,-9430.148999999998,33620.891,36561.869999999995,-2940.978999999992
2025-12-22,30615.428,40185.36,-9569.932,30615.428,33166.68,-2551.2520000000004
2025-12-21,34512.926999999996,44985.259999999995,-10472.332999999999,34512.926999999996,37911.62,-3398.6930000000066
2025-12-20,38814.606,49202.56999999999,-10387.963999999993,38814.606,41175.02,-2360.413999999997
2025-12-19,35006.0,44344.06,-9338.059999999998,35006.0,37020.38,-2014.3799999999974
2025-12-18,40325.560000000005,50129.41,-9803.849999999999,40325.560000000005,42542.509999999995,-2216.94999999999
2025-12-17,30057.358,39473.06,-9415.701999999997,30057.358,32059.23,-2001.8719999999994
2025-12-16,25601.683,34369.979999999996,-8768.296999999995,25601.683,27242.6,-1640.9169999999976
2025-12-15,30006.024,42389.149999999994,-12383.125999999993,30006.024,32287.15,-2281.126
2025-12-14,33106.047,48850.82,-15744.773000000001,33106.047,36716.549999999996,-3610.502999999997
2025-12-13,35744.966,48910.880000000005,-13165.914000000004,35744.966,38731.79,-2986.8240000000005
2025-12-12,31061.415,45872.40000000001,-14810.985000000008,31061.415,32986.27,-1924.854999999996
2025-12-11,33378.559,42872.380000000005,-9493.821000000004,33378.559,35849.06,-2470.5009999999966
2025-12-10,30320.603,38636.28,-8315.677,30320.603,30877.05,-556.4470000000001
2025-12-09,29219.388,37355.27999999999,-8135.891999999993,29219.388,29922.940000000002,-703.5520000000033
2025-12-08,26177.149,35527.909999999996,-9350.760999999995,26177.149,27274.83,-1097.6810000000005
2025-12-07,31697.184,39267.83,-7570.646000000001,31697.184,32154.29,-457.10599999999977
2025-12-06,36097.064999999995,44382.65,-8285.585000000006,36097.064999999995,37078.47,-981.4050000000061
2025-12-05,31829.877999999997,40569.26,-8739.382000000005,31829.877999999997,32065.21,-235.33200000000215
2025-12-04,30858.838,41453.619999999995,-10594.781999999996,30858.838,31612.420000000002,-753.5820000000022
2025-12-03,26010.137,37752.49,-11742.353,26010.137,26648.25,-638.1130000000012
2025-12-02,36727.289000000004,48718.479999999996,-11991.190999999992,36727.289000000004,37800.11,-1072.8209999999963
2025-12-01,47854.793999999994,63661.35999999999,-15806.565999999999,47854.793999999994,49865.4,-2010.606000000007
2025-11-30,44351.512,60986.3,-16634.788,44351.512,46654.06,-2302.547999999995
2025-11-29,55682.507,69879.07,-14196.56300000001,55682.507,56931.130000000005,-1248.6230000000069
2025-11-28,41603.016,58295.51,-16692.494,41603.016,42600.21000000001,-997.1940000000031
2025-11-27,38049.555,52905.81,-14856.254999999997,38049.555,39375.57,-1326.0149999999994
2025-11-26,35418.518000000004,43700.64,-8282.121999999996,35418.518000000004,36266.079999999994,-847.5619999999908
2025-11-25,32019.354000000003,40639.67,-8620.315999999995,32019.354000000003,33032.29,-1012.9359999999979
2025-11-24,29211.905,36944.77,-7732.864999999998,29211.905,29841.600000000002,-629.6950000000033
2025-11-23,36736.751,44385.520000000004,-7648.7690000000075,36736.751,37540.520000000004,-803.7690000000075
